Time (s),Ch1 (V),Ch2 (V)
0.0456250,0.1705171,0.1777705
0.0457500,0.1632636,0.1753527
0.0458750,0.1777705,0.1729349
0.0460000,0.1656814,0.1753527
0.0461250,0.1656814,0.1777705
0.0462500,0.1705171,0.1753527
0.0463750,0.1656814,0.1753527
0.0465000,0.1729349,0.1777705
0.0466250,0.1705171,0.1753527
0.0467500,0.1729349,0.1801883
0.0468750,0.1753527,0.1753527
0.0470000,0.1753527,0.1801883
0.0471250,0.1777705,0.1801883
0.0472500,0.1801883,0.1826062
0.0473750,0.1850240,0.1874418
0.0475000,0.1850240,0.1850240
0.0476250,0.1922775,0.1946953
0.0477500,0.1971131,0.1922775
0.0478750,0.2019488,0.1971131
0.0480000,0.2092022,0.2092022
0.0481250,0.2043666,0.2067844
0.0482500,0.2188735,0.2237092
0.0483750,0.2285448,0.2357983
0.0485000,0.2333805,0.2406340
0.0486250,0.2503053,0.2430518
0.0487500,0.2551409,0.2551409
0.0488750,0.2720657,0.2744835
0.0490000,0.2962439,0.2986617
0.0491250,0.3107509,0.3083330
0.0492500,0.3325113,0.3349291
0.0493750,0.3518539,0.3566895
0.0495000,0.3736143,0.3808678
0.0496250,0.3977925,0.4050460
0.0497500,0.4509847,0.4268064
0.0498750,0.4485668,0.4509847
0.0500000,0.4896698,0.4920877
0.0501250,0.4993411,0.5017590
0.0502500,0.5331907,0.5331907
0.0503750,0.5573689,0.5622046
0.0505000,0.5767115,0.5767115
0.0506250,0.6299036,0.6347393
0.0507500,0.6564997,0.6613354
0.0508750,0.7048562,0.7121097
0.0510000,0.7773909,0.7556305
0.0511250,0.7653018,0.7653018
0.0512500,0.8015692,0.7991513
0.0513750,0.8499257,0.8523435
0.0515000,0.8982821,0.9007000
0.0516250,0.9272960,0.9321317
0.0517500,0.9563099,0.9659812
0.0518750,1.0167555,1.0215912
0.0520000,1.0626942,1.0844546
0.0521250,1.1037972,1.1086328
0.0522500,1.1279754,1.1303933
0.0523750,1.1666606,1.1618250
0.0525000,1.2150171,1.2125993
0.0526250,1.2416132,1.2367775
0.0527500,1.2537023,1.2609558
0.0528750,1.3020588,1.3044766
0.0530000,1.3165657,1.3383261
0.0531250,1.3649222,1.3625044
0.0532500,1.3891004,1.3891004
0.0533750,1.4156965,1.4156965
0.0535000,1.4398748,1.4374569
0.0536250,1.4713065,1.4761421
0.0537500,1.4906491,1.4882312
0.0538750,1.5027382,1.5027382
0.0540000,1.5172451,1.5148273
0.0541250,1.5341699,1.5317521
0.0542500,1.5462590,1.5438412
0.0543750,1.5510947,1.5486768
0.0545000,1.5535125,1.5535125
0.0546250,1.5535125,1.5583481
0.0547500,1.5535125,1.5486768
0.0548750,1.5486768,1.5486768
0.0550000,1.5414234,1.5486768
0.0551250,1.5269164,1.5269164
0.0552500,1.5244986,1.5220808
0.0553750,1.5051560,1.5075738
0.0555000,1.4882312,1.4833956
0.0556250,1.4567995,1.4640530
0.0557500,1.4495461,1.4495461
0.0558750,1.4277856,1.4302035
0.0560000,1.3866826,1.3842648
0.0561250,1.3649222,1.3697579
0.0562500,1.3262370,1.3286548
0.0563750,1.3093122,1.3020588
0.0565000,1.2585379,1.2585379
0.0566250,1.2343597,1.2367775
0.0567500,1.2053458,1.2005102
